,C,H,O,heat_rate,T,mass_porc,biomass
153,61.93,0.91,35.47,10,546.999999999986,49.2583120204604,EU
154,61.93,0.91,35.47,10,30.3999999999993,99.7101449275363,EU
155,61.93,0.91,35.47,15,277.499999999998,89.2009769713887,EU
156,61.93,0.91,35.47,20,781.839999999993,37.0183086312119,EU
157,61.93,0.91,35.47,10,556.899999999986,48.3034953111679,EU
158,61.93,0.91,35.47,15,648.779999999992,40.3349616189812,EU
159,61.93,0.91,35.47,10,744.099999999984,33.4356351236146,EU
160,61.93,0.91,35.47,10,499.299999999987,51.5942028985507,EU
161,61.93,0.91,35.47,15,95.9400000000009,98.7787857641312,EU
162,61.93,0.91,35.47,20,793.319999999993,36.460331299041,EU
163,61.93,0.91,35.47,20,73.3599999999988,99.4768962510898,EU
164,61.93,0.91,35.47,10,718.899999999982,34.765558397272,EU
165,61.93,0.91,35.47,10,45.6999999999989,99.147485080989,EU
166,61.93,0.91,35.47,15,829.319999999989,16.817864619679,EU
167,61.93,0.91,35.47,20,803.159999999993,35.5187445510026,EU
168,61.93,0.91,35.47,10,644.199999999984,40.8354646206309,EU
169,61.93,0.91,35.47,10,84.3999999999979,97.612958226769,EU
170,61.93,0.91,35.47,20,120.919999999998,98.7794245858762,EU
171,61.93,0.91,35.47,15,421.319999999996,57.7983251919051,EU
172,61.93,0.91,35.47,15,316.259999999998,87.3517096999302,EU
173,61.93,0.91,35.47,20,798.239999999993,36.0244115082825,EU
174,61.93,0.91,35.47,15,333.599999999997,85.6245638520587,EU
175,61.93,0.91,35.47,15,671.219999999992,39.4277739009072,EU
176,61.93,0.91,35.47,15,180.6,96.3014654570831,EU
177,61.93,0.91,35.47,20,558.799999999995,50.7759372275501,EU
178,61.93,0.91,35.47,10,196.899999999995,90.5711849957375,EU
179,61.93,0.91,35.47,20,224.239999999998,97.0357454228422,EU
180,61.93,0.91,35.47,15,167.34,96.8946266573622,EU
181,61.93,0.91,35.47,15,215.28,94.8534542916958,EU
182,61.93,0.91,35.47,15,457.019999999995,53.698534542917,EU
183,61.93,0.91,35.47,15,577.379999999993,43.632240055827,EU
184,61.93,0.91,35.47,20,320.999999999997,90.2179598953792,EU
185,61.93,0.91,35.47,15,582.479999999993,43.4926727145848,EU
186,61.93,0.91,35.47,10,772.899999999987,31.4407502131288,EU
187,61.93,0.91,35.47,20,609.639999999994,47.2537053182215,EU
188,61.93,0.91,35.47,20,347.239999999997,87.6721883173496,EU
189,61.93,0.91,35.47,15,97.9800000000009,98.7438939288207,EU
190,61.93,0.91,35.47,15,172.44,96.6503838101884,EU
191,61.93,0.91,35.47,10,468.699999999988,52.9070758738278,EU
192,61.93,0.91,35.47,10,282.399999999993,75.9590792838875,EU
193,61.93,0.91,35.47,10,249.999999999994,85.541346973572,EU
194,61.93,0.91,35.47,10,149.199999999996,92.9752770673487,EU
