,C,H,O,heat_rate,T,mass_porc,biomass_SD
197,44.71,1.48,49.33,10,450.748148148138,12.3959702146299,True
198,44.71,1.48,49.33,5,674.512028846156,6.94877505567923,True
199,44.71,1.48,49.33,15,73.2769230769245,97.5139305615088,True
200,44.71,1.48,49.33,15,864.7846153846,1.80025717959715,True
201,44.71,1.48,49.33,10,659.733333333318,6.57030223390269,True
202,44.71,1.48,49.33,5,46.7133413461538,99.1091314031181,True
203,44.71,1.48,49.33,5,146.908653846154,94.0757238307348,True
204,44.71,1.48,49.33,15,93.246153846155,96.1851693099013,True
205,44.71,1.48,49.33,5,329.018028846154,42.0489977728284,True
206,44.71,1.48,49.33,15,179.476923076923,92.5846549507072,True
207,44.71,1.48,49.33,10,91.4518518518498,97.2842750766535,True
208,44.71,1.48,49.33,15,517.138461538456,12.0445777968282,True
209,44.71,1.48,49.33,10,790.925925925905,3.1099430573807,True
210,44.71,1.48,49.33,5,342.728966346154,36.6592427616927,True
211,44.71,1.48,49.33,5,279.799278846154,74.9220489977727,True
212,44.71,1.48,49.33,10,84.199999999998,97.3718791064388,True
213,44.71,1.48,49.33,5,201.400841346154,90.7795100222717,True
214,44.71,1.48,49.33,5,116.674278846154,94.8329621380847,True
215,44.71,1.48,49.33,15,52.4000000000015,98.4140591513072,True
216,44.71,1.48,49.33,5,49.1742788461538,99.0645879732739,True
217,44.71,1.48,49.33,10,537.111111111099,9.76784932106872,True
218,44.71,1.48,49.33,5,470.711028846154,12.6057906458749,True
219,44.71,1.48,49.33,10,877.28888888886,0.6570302233903,True
220,44.71,1.48,49.33,15,154.061538461539,93.9134162023145,True
221,44.71,1.48,49.33,15,793.98461538461,2.57179597085307,True
222,44.71,1.48,49.33,5,280.150841346154,74.8329621380846,True
223,44.71,1.48,49.33,5,726.85002884616,6.36971046770604,True
224,44.71,1.48,49.33,10,98.7037037037014,96.9776609724046,True
225,44.71,1.48,49.33,5,558.734028846155,8.37416481069037,True
