,C,H,O,heat_rate,T,mass_porc,biomass_EU
1579,61.93,0.91,35.47,15,706.919999999991,36.6538729937195,True
1580,61.93,0.91,35.47,15,170.4,96.7201674808095,True
1581,61.93,0.91,35.47,15,767.09999999999,26.4480111653873,True
1582,61.93,0.91,35.47,10,897.099999999999,17.8516624040921,True
1583,61.93,0.91,35.47,10,730.599999999982,34.0835464620631,True
1584,61.93,0.91,35.47,10,384.09999999999,58.4484228473999,True
1585,61.93,0.91,35.47,15,315.239999999998,87.3866015352408,True
1586,61.93,0.91,35.47,15,272.399999999999,89.4277739009072,True
1587,61.93,0.91,35.47,15,307.079999999998,87.7529658060014,True
1588,61.93,0.91,35.47,20,293.119999999997,92.4673060156932,True
1589,61.93,0.91,35.47,15,663.059999999992,40.0558269364969,True
1590,61.93,0.91,35.47,20,352.159999999997,87.4629468177855,True
1591,61.93,0.91,35.47,20,698.199999999994,41.4646904969486,True
1592,61.93,0.91,35.47,15,299.939999999998,88.2240055826936,True
1593,61.93,0.91,35.47,20,647.359999999994,44.9520488230166,True
1594,61.93,0.91,35.47,15,867.059999999988,13.8171667829728,True
1595,61.93,0.91,35.47,15,316.259999999998,87.3517096999302,True
1596,61.93,0.91,35.47,10,582.099999999985,45.6436487638534,True
1597,61.93,0.91,35.47,15,320.339999999998,86.8283321702722,True
1598,61.93,0.91,35.47,10,420.09999999999,55.4305200341006,True
1599,61.93,0.91,35.47,10,483.099999999988,52.3444160272805,True
1600,61.93,0.91,35.47,10,456.999999999989,53.6231884057971,True
1601,61.93,0.91,35.47,15,559.019999999994,44.870900209351,True
1602,61.93,0.91,35.47,10,801.69999999999,29.7868712702472,True
1603,61.93,0.91,35.47,20,232.439999999997,96.8788142981692,True
1604,61.93,0.91,35.47,15,436.619999999996,55.0593161200279,True
1605,61.93,0.91,35.47,15,373.379999999997,75.0697836706211,True
1606,61.93,0.91,35.47,10,726.999999999982,34.1858482523444,True
1607,61.93,0.91,35.47,20,845.799999999994,31.0026155187445,True
1608,61.93,0.91,35.47,10,741.399999999983,33.5038363171356,True
1609,61.93,0.91,35.47,10,181.599999999995,91.304347826087,True
1610,61.93,0.91,35.47,15,596.759999999993,42.463363572924,True
