,C,H,O,heat_rate,T,mass_porc,biomass_ESP
2720,41.67,5.28,39.77,20,756,6.47872597120571,True
2721,41.67,5.28,39.77,10,379,16.25905,True
2722,41.67,5.28,39.77,20,736,6.49883374889407,True
2723,41.67,5.28,39.77,20,513,10.1584492881847,True
2724,41.67,5.28,39.77,10,824,5.83542,True
2725,41.67,5.28,39.77,20,562,8.22810263009729,True
2726,41.67,5.28,39.77,20,832,6.29775597201001,True
2727,41.67,5.28,39.77,15,224,95.94101,True
2728,41.67,5.28,39.77,10,334,21.61743,True
2729,41.67,5.28,39.77,20,48,100.0,True
2730,41.67,5.28,39.77,15,831,5.01101,True
2731,41.67,5.28,39.77,15,752,6.27756,True
2732,41.67,5.28,39.77,10,720,5.736,True
2733,41.67,5.28,39.77,10,703,5.84188,True
2734,41.67,5.28,39.77,20,750,6.49883374889407,True
2735,41.67,5.28,39.77,15,784,5.7784,True
2736,41.67,5.28,39.77,10,258,81.95565,True
2737,41.67,5.28,39.77,15,897,5.01101,True
2738,41.67,5.28,39.77,15,549,7.52946,True
2739,41.67,5.28,39.77,20,792,6.41840263814048,True
2740,41.67,5.28,39.77,10,846,5.99888,True
2741,41.67,5.28,39.77,20,742,6.49883374889407,True
2742,41.67,5.28,39.77,10,244,90.63352,True
2743,41.67,5.28,39.77,20,636,7.12217485723475,True
2744,41.67,5.28,39.77,10,208,96.98296,True
2745,41.67,5.28,39.77,10,182,98.80643,True
2746,41.67,5.28,39.77,20,576,7.92648596477113,True
2747,41.67,5.28,39.77,15,889,5.01101,True
2748,41.67,5.28,39.77,20,593,7.66508485482184,True
2749,41.67,5.28,39.77,15,85,100.02405,True
2750,41.67,5.28,39.77,15,814,4.98959,True
2751,41.67,5.28,39.77,15,626,6.88408,True
2752,41.67,5.28,39.77,15,741,6.43752,True
2753,41.67,5.28,39.77,15,44,100.0,True
2754,41.67,5.28,39.77,15,306,42.10978,True
2755,41.67,5.28,39.77,15,445,12.95985,True
2756,41.67,5.28,39.77,10,773,5.81605,True
2757,41.67,5.28,39.77,20,387,20.9161103514839,True
2758,41.67,5.28,39.77,15,724,6.54303,True
2759,41.67,5.28,39.77,20,669,6.8205581919086,True
2760,41.67,5.28,39.77,20,122,99.8391377784927,True
2761,41.67,5.28,39.77,20,798,6.39829486045197,True
2762,41.67,5.28,39.77,15,89,100.01454,True
2763,41.67,5.28,39.77,10,581,6.5563,True
2764,41.67,5.28,39.77,10,65,100.12029,True
2765,41.67,5.28,39.77,15,229,95.24799,True
2766,41.67,5.28,39.77,15,620,6.89785,True
2767,41.67,5.28,39.77,15,501,9.43635,True
2768,41.67,5.28,39.77,10,411,11.9475,True
2769,41.67,5.28,39.77,15,798,5.00417,True
2770,41.67,5.28,39.77,15,231,94.8646,True
2771,41.67,5.28,39.77,15,650,6.79983,True
2772,41.67,5.28,39.77,10,572,6.60682,True
2773,41.67,5.28,39.77,15,180,99.54667,True
2774,41.67,5.28,39.77,15,86,100.02107,True
2775,41.67,5.28,39.77,15,266,80.94374,True
2776,41.67,5.28,39.77,20,52,100.0,True
2777,41.67,5.28,39.77,10,537,6.77873,True
2778,41.67,5.28,39.77,20,307,42.4515402557709,True
2779,41.67,5.28,39.77,15,349,25.16335,True
2780,41.67,5.28,39.77,10,925,6.22255,True
2781,41.67,5.28,39.77,10,748,5.87324,True
2782,41.67,5.28,39.77,20,684,6.76023485884336,True
2783,41.67,5.28,39.77,15,763,5.93616,True
2784,41.67,5.28,39.77,20,539,8.89165929381484,True
2785,41.67,5.28,39.77,10,337,21.18082,True
2786,41.67,5.28,39.77,15,651,6.79554,True
2787,41.67,5.28,39.77,20,543,8.73079707230751,True
2788,41.67,5.28,39.77,15,352,24.59752,True
2789,41.67,5.28,39.77,15,288,58.35042,True
2790,41.67,5.28,39.77,10,226,95.3025,True
2791,41.67,5.28,39.77,20,332,30.6080591972975,True
2792,41.67,5.28,39.77,10,913,6.22582,True
2793,41.67,5.28,39.77,20,219,97.7077133435213,True
2794,41.67,5.28,39.77,20,817,6.31786374969838,True
2795,41.67,5.28,39.77,10,405,12.5137,True
2796,41.67,5.28,39.77,10,290,42.54074,True
2797,41.67,5.28,39.77,10,658,5.68817,True
2798,41.67,5.28,39.77,10,482,7.18228,True
2799,41.67,5.28,39.77,15,830,5.01101,True
2800,41.67,5.28,39.77,15,646,6.81633,True
2801,41.67,5.28,39.77,15,787,5.25537,True
2802,41.67,5.28,39.77,15,569,7.2273,True
2803,41.67,5.28,39.77,10,723,5.70895,True
2804,41.67,5.28,39.77,15,610,6.90389,True
2805,41.67,5.28,39.77,15,34,100.0,True
2806,41.67,5.28,39.77,15,71,100.03805,True
2807,41.67,5.28,39.77,20,517,9.93726373361215,True
2808,41.67,5.28,39.77,20,77,100.0,True
2809,41.67,5.28,39.77,10,701,5.834,True
