,C,H,O,heat_rate,T,mass_porc,biomass_OP
454,52.79,2.57,42.75,5,22.967,62.4913174345914,True
455,52.79,2.57,42.75,5,20.509,5.6031488770549,True
456,52.79,2.57,42.75,5,24.572,99.6758508914101,True
457,52.79,2.57,42.75,5,24.266,92.5677240101876,True
458,52.79,2.57,42.75,5,20.505,5.48738133827279,True
459,52.79,2.57,42.75,5,20.796,12.2018985876361,True
460,52.79,2.57,42.75,5,20.976,16.3232229682797,True
461,52.79,2.57,42.75,15,21.077,8.7743350699205,True
462,52.79,2.57,42.75,15,20.952,5.42911982451331,True
463,52.79,2.57,42.75,5,23.121,66.0801111368372,True
464,52.79,2.57,42.75,5,20.395,2.96364899282242,True
465,52.79,2.57,42.75,5,20.688,9.72447325769858,True
466,52.79,2.57,42.75,5,20.337,1.59759203519331,True
467,52.79,2.57,42.75,15,20.969,5.84041678091575,True
468,52.79,2.57,42.75,5,24.581,99.8842324612179,True
469,52.79,2.57,42.75,10,20.485,2.20306513409959,True
470,52.79,2.57,42.75,5,20.681,9.58555221116003,True
471,52.79,2.57,42.75,5,21.416,26.5339198888632,True
472,52.79,2.57,42.75,5,21.296,23.8018059736051,True
473,52.79,2.57,42.75,5,20.682,9.58555221116003,True
474,52.79,2.57,42.75,5,24.375,95.1146098633943,True
475,52.79,2.57,42.75,5,20.478,4.88539013660574,True
476,52.79,2.57,42.75,10,21.667,30.5076628352491,True
477,52.79,2.57,42.75,5,20.681,9.58555221116003,True
478,52.79,2.57,42.75,5,20.46,4.44547348923362,True
479,52.79,2.57,42.75,15,24.357,98.7935289278859,True
480,52.79,2.57,42.75,10,20.59,4.71743295019155,True
481,52.79,2.57,42.75,5,21.075,18.7080342671915,True
482,52.79,2.57,42.75,5,20.349,1.89858763602688,True
483,52.79,2.57,42.75,5,20.719,10.4190784903913,True
484,52.79,2.57,42.75,5,24.362,94.8136142625608,True
485,52.79,2.57,42.75,10,21.111,17.1934865900383,True
486,52.79,2.57,42.75,15,20.891,3.75651220180962,True
487,52.79,2.57,42.75,10,20.453,1.43678160919537,True
488,52.79,2.57,42.75,5,24.273,92.7297985644825,True
489,52.79,2.57,42.75,10,21.016,14.9185823754789,True
490,52.79,2.57,42.75,5,21.115,19.5647140541792,True
491,52.79,2.57,42.75,5,24.038,87.2424172262098,True
492,52.79,2.57,42.75,10,20.428,0.838122605363988,True
493,52.79,2.57,42.75,5,23.768,80.8752025931929,True
494,52.79,2.57,42.75,5,21.112,19.5415605464228,True
495,52.79,2.57,42.75,5,21.628,31.3266959944432,True
496,52.79,2.57,42.75,5,21.088,19.009029868025,True
497,52.79,2.57,42.75,15,21.05,8.0888401425829,True
498,52.79,2.57,42.75,15,21.458,19.02933918289,True
499,52.79,2.57,42.75,10,20.703,7.42337164750955,True
500,52.79,2.57,42.75,10,24.322,94.0852490421456,True
501,52.79,2.57,42.75,5,21.15,20.4445473489233,True
502,52.79,2.57,42.75,5,24.585,99.9768464922436,True
