,C,H,O,heat_rate,T,mass_porc,biomass_ESP,biomass_EU,biomass_MCP,biomass_MSP,biomass_MV,biomass_OU,biomass_PP,biomass_SD
16228,48.95,1.38,48.41,5,53.9000000000009,99.5441259285082,False,False,False,False,False,False,True,False
16229,61.93,0.91,35.47,15,696.719999999991,37.595952547104,False,True,False,False,False,False,False,False
16230,45.51,5.58,41.82,5,162.479,89.2713664772727,False,False,False,True,False,False,False,False
16231,45.49,5.61,42.1,15,716.72803,11.415016,False,False,True,False,False,False,False,False
16232,45.51,5.58,41.82,10,582.84601,28.0217691764706,False,False,False,True,False,False,False,False
16233,44.71,1.48,49.33,10,248.35555555555,84.4064826982041,False,False,False,False,False,False,False,True
16234,45.49,5.61,42.1,15,379.75299,37.934848,False,False,True,False,False,False,False,False
16235,48.95,1.38,48.41,5,626.614999999993,9.57603711351262,False,False,False,False,False,False,True,False
16236,61.93,0.91,35.47,15,132.660000000001,98.0111653872994,False,True,False,False,False,False,False,False
16237,45.49,5.61,42.1,10,607.586,25.92271,False,False,True,False,False,False,False,False
16238,78.78,0.82,19.91,20,84.3999999999999,99.1773778920308,False,False,False,False,True,False,False,False
16239,45.49,5.61,42.1,10,618.78302,25.6496577966102,False,False,True,False,False,False,False,False
16240,61.93,0.91,35.47,15,792.599999999989,20.3593859036986,False,True,False,False,False,False,False,False
16241,41.67,5.28,39.77,15,504.0,9.25921,True,False,False,False,False,False,False,False
16242,48.95,1.38,48.41,5,190.700000000006,96.0580300876888,False,False,False,False,False,False,True,False
16243,61.93,0.91,35.47,10,822.399999999992,28.2864450127877,False,True,False,False,False,False,False,False
16244,78.78,0.82,19.91,10,599.420000000011,29.7189451769605,False,False,False,False,True,False,False,False
16245,48.95,1.38,48.41,10,230.200000000004,90.3168567807352,False,False,False,False,False,False,True,False
16246,48.95,1.38,48.41,10,124.6,96.6286438529785,False,False,False,False,False,False,True,False
16247,75.63,0.79,22.14,10,549.260000000006,28.4790874524715,False,False,False,False,False,True,False,False
16248,61.93,0.91,35.47,10,180.699999999996,91.3554987212277,False,True,False,False,False,False,False,False
16249,45.51,5.58,41.82,5,655.08899,24.3156857954546,False,False,False,True,False,False,False,False
16250,45.51,5.58,41.82,15,273.43701,74.9580674698795,False,False,False,True,False,False,False,False
16251,45.51,5.58,41.82,5,363.53201,40.2840897727273,False,False,False,True,False,False,False,False
16252,45.49,5.61,42.1,10,61.511,99.0128706779661,False,False,True,False,False,False,False,False
16253,45.51,5.58,41.82,5,892.41998,22.0695369318182,False,False,False,True,False,False,False,False
16254,45.49,5.61,42.1,5,421.90701,29.263819047619,False,False,True,False,False,False,False,False
16255,44.71,1.48,49.33,10,873.33333333331,0.963644327639003,False,False,False,False,False,False,False,True
16256,45.49,5.61,42.1,5,838.315,18.0491968253968,False,False,True,False,False,False,False,False
16257,45.51,5.58,41.82,10,169.26601,92.3835197647059,False,False,False,True,False,False,False,False
16258,48.95,1.38,48.41,5,173.900000000005,96.7016170121478,False,False,False,False,False,False,True,False
16259,78.78,0.82,19.91,20,400.239999999999,83.9245929734361,False,False,False,False,True,False,False,False
16260,45.49,5.61,42.1,15,142.535,92.58832,False,False,True,False,False,False,False,False
16261,48.95,1.38,48.41,15,452.786900000012,11.5984930032293,False,False,False,False,False,False,True,False
16262,44.71,1.48,49.33,5,724.47102884616,6.36971046770604,False,False,False,False,False,False,False,True
16263,48.95,1.38,48.41,15,236.546135000006,90.6081808396125,False,False,False,False,False,False,True,False
16264,44.71,1.48,49.33,10,252.311111111105,82.7858081471748,False,False,False,False,False,False,False,True
16265,78.78,0.82,19.91,20,212.24,97.7377892030848,False,False,False,False,True,False,False,False
16266,41.67,5.28,39.77,15,507.0,9.08589,True,False,False,False,False,False,False,False
16267,45.49,5.61,42.1,15,877.08698,4.18618000000005,False,False,True,False,False,False,False,False
16268,75.63,0.79,22.14,10,895.939999999983,10.0950570342205,False,False,False,False,False,True,False,False
16269,44.71,1.48,49.33,5,134.603966346154,94.3429844097994,False,False,False,False,False,False,False,True
16270,48.95,1.38,48.41,10,798.840000000014,4.25855513307992,False,False,False,False,False,False,True,False
16271,45.49,5.61,42.1,10,556.98102,27.3598384745762,False,False,True,False,False,False,False,False
16272,48.95,1.38,48.41,5,243.800000000008,79.8342763669518,False,False,False,False,False,False,True,False
16273,61.93,0.91,35.47,10,279.699999999993,76.9138959931799,False,True,False,False,False,False,False,False
16274,44.71,1.48,49.33,15,867.50769230768,1.71453064723543,False,False,False,False,False,False,False,True
16275,41.67,5.28,39.77,15,246.0,92.47663,True,False,False,False,False,False,False,False
16276,48.95,1.38,48.41,10,440.800000000012,21.4702154626109,False,False,False,False,False,False,True,False
16277,44.71,1.48,49.33,5,319.174278846154,46.4587973273942,False,False,False,False,False,False,False,True
16278,78.78,0.82,19.91,20,440.659999999999,74.1559554413024,False,False,False,False,True,False,False,False
16279,41.67,5.28,39.77,10,62.0,100.07366,True,False,False,False,False,False,False,False
16280,41.67,5.28,39.77,15,368.0,21.88087,True,False,False,False,False,False,False,False
16281,75.63,0.79,22.14,10,273.859999999999,86.3307984790874,False,False,False,False,False,True,False,False
16282,44.71,1.48,49.33,5,293.158653846154,63.4298440979955,False,False,False,False,False,False,False,True
16283,78.78,0.82,19.91,20,807.260000000016,16.229648671808,False,False,False,False,True,False,False,False
16284,45.51,5.58,41.82,10,380.077,41.6738717647059,False,False,False,True,False,False,False,False
16285,45.49,5.61,42.1,10,252.37801,81.708996440678,False,False,True,False,False,False,False,False
16286,44.71,1.48,49.33,10,604.355555555542,7.97196671046862,False,False,False,False,False,False,False,True
16287,45.51,5.58,41.82,5,173.86,88.8319255681818,False,False,False,True,False,False,False,False
16288,45.49,5.61,42.1,10,644.97198,25.0708562711865,False,False,True,False,False,False,False,False
16289,41.67,5.28,39.77,20,61.0,100.0,True,False,False,False,False,False,False,False
16290,45.51,5.58,41.82,15,228.20399,87.2969771084338,False,False,False,True,False,False,False,False
16291,44.71,1.48,49.33,5,77.6508413461538,96.3028953229398,False,False,False,False,False,False,False,True
16292,48.95,1.38,48.41,5,29.9,99.8659193907377,False,False,False,False,False,False,True,False
16293,78.78,0.82,19.91,10,885.800000000007,7.87647467036781,False,False,False,False,True,False,False,False
16294,45.51,5.58,41.82,5,579.521,25.8371636363636,False,False,False,True,False,False,False,False
16295,45.51,5.58,41.82,5,788.14203,22.8110238636364,False,False,False,True,False,False,False,False
16296,41.67,5.28,39.77,10,89.0,99.74048,True,False,False,False,False,False,False,False
16297,61.93,0.91,35.47,10,769.299999999986,31.7476555839727,False,True,False,False,False,False,False,False
