,C,H,O,heat_rate,T,mass_porc,biomass_OU
2910,75.63,0.79,22.14,10,696.679999999996,21.7490494296578,True
2911,75.63,0.79,22.14,15,287.630000000003,90.3317728475473,True
2912,75.63,0.79,22.14,10,224.179999999999,88.8783269961977,True
2913,75.63,0.79,22.14,10,169.1,92.3384030418251,True
2914,75.63,0.79,22.14,10,859.759999999985,13.8973384030419,True
2915,75.63,0.79,22.14,15,432.709999999997,66.944840219825,True
2916,75.63,0.79,22.14,20,859.159999999982,31.2899586310643,True
2917,75.63,0.79,22.14,15,76.5200000000015,98.9212293914105,True
2918,75.63,0.79,22.14,10,76.2200000000001,95.3231939163498,True
2919,75.63,0.79,22.14,10,265.759999999999,86.7490494296577,True
2920,75.63,0.79,22.14,10,449.360000000006,41.1977186311787,True
2921,75.63,0.79,22.14,10,632.42,24.6958174904943,True
2922,75.63,0.79,22.14,10,782.53999999999,18.4790874524715,True
2923,75.63,0.79,22.14,15,705.199999999982,32.485243232241,True
2924,75.63,0.79,22.14,20,620.47999999999,41.7826250470102,True
2925,75.63,0.79,22.14,20,539.359999999993,44.9605114704777,True
2926,75.63,0.79,22.14,10,591.920000000003,26.2927756653992,True
2927,75.63,0.79,22.14,15,645.679999999985,36.5764298799104,True
2928,75.63,0.79,22.14,10,555.200000000006,28.041825095057,True
2929,75.63,0.79,22.14,20,185.24,94.1707408800301,True
2930,75.63,0.79,22.14,10,722.599999999994,20.7604562737642,True
2931,75.63,0.79,22.14,15,503.389999999993,51.0685935273764,True
2932,75.63,0.79,22.14,15,735.88999999998,30.3073478526359,True
2933,75.63,0.79,22.14,10,36.8,98.6692015209125,True
2934,75.63,0.79,22.14,20,489.439999999995,53.0462579917262,True
2935,75.63,0.79,22.14,15,572.209999999989,43.5375534296764,True
2936,75.63,0.79,22.14,15,621.499999999987,38.9985752086302,True
2937,75.63,0.79,22.14,10,77.3000000000001,95.2281368821292,True
2938,75.63,0.79,22.14,20,119.72,95.8066942459572,True
2939,75.63,0.79,22.14,15,296.000000000003,89.8636271117443,True
2940,75.63,0.79,22.14,10,558.440000000005,27.9847908745247,True
2941,75.63,0.79,22.14,15,894.919999999981,21.9010787706086,True
2942,75.63,0.79,22.14,15,293.210000000003,90.0264604111541,True
2943,75.63,0.79,22.14,10,594.080000000003,26.2737642585552,True
2944,75.63,0.79,22.14,10,462.860000000007,39.8479087452471,True
2945,75.63,0.79,22.14,15,309.950000000003,88.418481579483,True
2946,75.63,0.79,22.14,10,850.579999999986,14.3916349809886,True
2947,75.63,0.79,22.14,10,325.700000000001,78.3460076045627,True
2948,75.63,0.79,22.14,20,767.119999999985,34.3738247461452,True
2949,75.63,0.79,22.14,10,872.719999999984,12.4334600760456,True
2950,75.63,0.79,22.14,15,776.809999999978,28.0683899857521,True
2951,75.63,0.79,22.14,10,459.080000000007,40.2851711026616,True
2952,75.63,0.79,22.14,10,616.760000000001,25.0760456273764,True
2953,75.63,0.79,22.14,10,186.92,91.0836501901141,True
2954,75.63,0.79,22.14,20,441.079999999996,70.4588191049267,True
2955,75.63,0.79,22.14,15,147.200000000002,96.3973132505597,True
2956,75.63,0.79,22.14,10,358.640000000003,69.7908745247148,True
2957,75.63,0.79,22.14,10,676.699999999997,22.7756653992395,True
2958,75.63,0.79,22.14,15,865.159999999979,23.2240993283126,True
2959,75.63,0.79,22.14,15,616.849999999987,39.4463667820069,True
2960,75.63,0.79,22.14,15,214.160000000003,93.9141054345614,True
2961,75.63,0.79,22.14,10,741.499999999993,20.1140684410646,True
2962,75.63,0.79,22.14,20,177.44,94.396389620158,True
