,C,H,O,heat_rate,T,mass_porc,biomass
2429,41.67,5.28,39.77,10,608,6.02728,ESP
2430,41.67,5.28,39.77,15,94,99.99826,ESP
2431,41.67,5.28,39.77,20,217,97.8082522319633,ESP
2432,41.67,5.28,39.77,20,81,100.0,ESP
2433,41.67,5.28,39.77,10,77,100.02755,ESP
2434,41.67,5.28,39.77,20,780,6.43851041582884,ESP
2435,41.67,5.28,39.77,20,116,99.9597844446231,ESP
2436,41.67,5.28,39.77,10,538,6.7733,ESP
2437,41.67,5.28,39.77,20,107,100.0,ESP
2438,41.67,5.28,39.77,20,392,20.3128770208316,ESP
2439,41.67,5.28,39.77,10,415,11.46131,ESP
2440,41.67,5.28,39.77,15,216,96.98533,ESP
2441,41.67,5.28,39.77,15,814,5.00976,ESP
2442,41.67,5.28,39.77,15,827,5.01101,ESP
2443,41.67,5.28,39.77,20,232,95.7572589077456,ESP
2444,41.67,5.28,39.77,20,709,6.6395881927129,ESP
2445,41.67,5.28,39.77,10,613,5.98372,ESP
2446,41.67,5.28,39.77,10,512,6.85741,ESP
2447,41.67,5.28,39.77,20,485,11.7871792809458,ESP
2448,41.67,5.28,39.77,10,504,6.90693,ESP
2449,41.67,5.28,39.77,10,865,6.19406,ESP
2450,41.67,5.28,39.77,10,415,11.54208,ESP
2451,41.67,5.28,39.77,10,507,6.88469,ESP
2452,41.67,5.28,39.77,10,73,100.10725,ESP
2453,41.67,5.28,39.77,15,54,99.94675,ESP
2454,41.67,5.28,39.77,20,295,57.5122657443899,ESP
2455,41.67,5.28,39.77,15,719,6.55135,ESP
2456,41.67,5.28,39.77,15,257,85.50246,ESP
2457,41.67,5.28,39.77,10,301,31.75986,ESP
2458,41.67,5.28,39.77,10,318,23.94179,ESP
2459,41.67,5.28,39.77,10,843,5.77812,ESP
2460,41.67,5.28,39.77,20,492,11.3448081718008,ESP
2461,41.67,5.28,39.77,10,826,5.7467,ESP
2462,41.67,5.28,39.77,15,42,100.0,ESP
2463,41.67,5.28,39.77,15,727,6.48311,ESP
2464,41.67,5.28,39.77,15,792,4.98918,ESP
2465,41.67,5.28,39.77,10,455,8.44755,ESP
2466,41.67,5.28,39.77,10,807,5.65936,ESP
