,C,H,O,heat_rate,T,mass_porc,biomass_PP
395,48.95,1.38,48.41,10,367.000000000009,27.2750316856781,True
396,48.95,1.38,48.41,5,251.525000000008,68.2228956048377,True
397,48.95,1.38,48.41,5,271.10000000001,37.7061489367408,True
398,48.95,1.38,48.41,5,724.822999999989,5.98267678528338,True
399,48.95,1.38,48.41,5,158.000000000005,97.479284545869,True
400,48.95,1.38,48.41,10,504.400000000014,16.7807351077314,True
401,48.95,1.38,48.41,10,424.000000000011,22.5348542458809,True
402,48.95,1.38,48.41,10,272.200000000006,73.1305449936629,True
403,48.95,1.38,48.41,10,445.600000000012,21.2674271229405,True
404,48.95,1.38,48.41,5,260.975000000009,55.6997666997399,True
405,48.95,1.38,48.41,15,404.842115000011,15.6620021528525,True
406,48.95,1.38,48.41,15,296.232500000007,62.2174381054898,True
407,48.95,1.38,48.41,5,88.1000000000022,99.2491485881312,True
408,48.95,1.38,48.41,10,320.200000000008,47.3257287705957,True
409,48.95,1.38,48.41,5,73.4000000000016,99.3832291973935,True
410,48.95,1.38,48.41,15,651.415295000018,2.77179763186226,True
411,48.95,1.38,48.41,10,529.000000000015,15.0570342205323,True
412,48.95,1.38,48.41,5,238.100000000008,84.875707275214,True
413,48.95,1.38,48.41,5,53.6000000000008,99.5709420503607,True
414,48.95,1.38,48.41,10,85.5999999999986,98.0735107731305,True
415,48.95,1.38,48.41,15,433.217600000011,13.5629709364909,True
416,48.95,1.38,48.41,15,359.832725000009,18.3530678148547,True
417,48.95,1.38,48.41,15,192.515210000004,92.9224973089344,True
418,48.95,1.38,48.41,15,314.823335000008,38.9666307857912,True
419,48.95,1.38,48.41,5,188.000000000006,96.192110696951,True
420,48.95,1.38,48.41,10,139.000000000001,95.8681875792142,True
421,48.95,1.38,48.41,5,101.900000000003,99.0614357351641,True
422,48.95,1.38,48.41,10,143.200000000001,95.6653992395438,True
423,48.95,1.38,48.41,5,561.142999999996,13.0085007106272,True
424,48.95,1.38,48.41,10,44.7999999999986,99.8225602027884,True
425,48.95,1.38,48.41,15,414.626765000011,15.2852529601723,True
426,48.95,1.38,48.41,5,35.0000000000001,99.8122871470329,True
427,48.95,1.38,48.41,15,623.039810000017,3.44456404736276,True
428,48.95,1.38,48.41,10,478.000000000013,18.8846641318124,True
429,48.95,1.38,48.41,10,560.800000000017,13.2826362484157,True
430,48.95,1.38,48.41,10,215.800000000004,91.9645120405577,True
431,48.95,1.38,48.41,10,433.000000000012,22.1039290240811,True
432,48.95,1.38,48.41,5,83.600000000002,99.3027808318361,True
433,48.95,1.38,48.41,5,140.900000000004,98.3910326888526,True
434,48.95,1.38,48.41,15,397.01439500001,15.9849300322928,True
435,48.95,1.38,48.41,10,290.200000000006,63.0164765525982,True
436,48.95,1.38,48.41,10,271.000000000006,75.3105196451204,True
437,48.95,1.38,48.41,5,378.615000000002,24.7003298382988,True
438,48.95,1.38,48.41,15,427.346810000011,14.4779332615716,True
439,48.95,1.38,48.41,5,38.9000000000003,99.8122871470329,True
440,48.95,1.38,48.41,10,88.5999999999988,97.9974651457541,True
441,48.95,1.38,48.41,5,739.702999999989,5.55361883564401,True
442,48.95,1.38,48.41,15,648.479900000018,2.77179763186226,True
443,48.95,1.38,48.41,15,285.469385000007,71.6630785791173,True
444,48.95,1.38,48.41,15,480.183920000013,10.6835306781486,True
445,48.95,1.38,48.41,10,121.6,96.8314321926489,True
446,48.95,1.38,48.41,10,800.510000000014,4.25855513307992,True
447,48.95,1.38,48.41,15,353.961935000009,18.9181916038752,True
448,48.95,1.38,48.41,10,377.20000000001,26.5652724968315,True
449,48.95,1.38,48.41,5,230.300000000007,89.0590222841973,True
450,48.95,1.38,48.41,5,109.400000000003,98.9273551259017,True
451,48.95,1.38,48.41,15,130.871915000003,95.6942949407966,True
452,48.95,1.38,48.41,15,376.46663000001,17.2497308934338,True
453,48.95,1.38,48.41,15,70.2070850000009,98.3584499461787,True
454,48.95,1.38,48.41,10,597.400000000018,11.0519645120406,True
455,48.95,1.38,48.41,5,261.875000000009,55.1902603845432,True
456,48.95,1.38,48.41,10,218.200000000004,91.7363751584284,True
457,48.95,1.38,48.41,15,256.115435000006,88.2131324004306,True
458,48.95,1.38,48.41,10,479.200000000014,18.8339670468949,True
459,48.95,1.38,48.41,5,364.727000000001,25.3707328846103,True
460,48.95,1.38,48.41,5,211.100000000007,95.1462819447052,True
461,48.95,1.38,48.41,5,115.700000000003,98.7932745166395,True
462,48.95,1.38,48.41,5,205.400000000007,95.5485237724921,True
463,48.95,1.38,48.41,15,349.069610000009,19.5371367061357,True
464,48.95,1.38,48.41,5,881.090999999983,0.0375425705935438,True
465,48.95,1.38,48.41,5,262.100000000009,55.0829958971334,True
466,48.95,1.38,48.41,10,461.800000000013,20.0760456273765,True
467,48.95,1.38,48.41,5,590.902999999994,11.4263495213323,True
468,48.95,1.38,48.41,5,130.400000000004,98.7128261510821,True
469,48.95,1.38,48.41,5,278.975000000011,32.6379019066263,True
470,48.95,1.38,48.41,15,363.746585000009,18.0839612486545,True
471,48.95,1.38,48.41,15,145.548890000003,95.0753498385361,True
472,48.95,1.38,48.41,15,97.6041050000017,97.0936490850377,True
473,48.95,1.38,48.41,15,136.742705000003,95.4520990312163,True
474,48.95,1.38,48.41,10,262.000000000005,80.405576679341,True
475,48.95,1.38,48.41,10,470.200000000013,19.3916349809886,True
476,48.95,1.38,48.41,10,287.200000000006,64.3092522179975,True
477,48.95,1.38,48.41,10,605.800000000018,10.6210392902408,True
478,48.95,1.38,48.41,10,226.000000000004,90.7477820025349,True
479,48.95,1.38,48.41,5,62.9000000000012,99.4636775629509,True
480,48.95,1.38,48.41,10,260.200000000005,80.9632446134348,True
481,48.95,1.38,48.41,10,491.200000000014,17.9214195183777,True
482,48.95,1.38,48.41,10,89.7999999999988,97.9721166032954,True
483,48.95,1.38,48.41,5,264.57500000001,52.2941192244777,True
484,48.95,1.38,48.41,10,113.2,97.1356147021546,True
485,48.95,1.38,48.41,15,265.900085000007,86.0064585575888,True
486,48.95,1.38,48.41,15,425.389880000011,14.7470398277718,True
487,48.95,1.38,48.41,10,387.40000000001,25.2217997465146,True
488,48.95,1.38,48.41,10,128.8,96.4005069708492,True
489,48.95,1.38,48.41,10,536.200000000016,14.8035487959442,True
490,48.95,1.38,48.41,5,194.000000000006,95.897133356574,True
491,48.95,1.38,48.41,5,257.375000000009,60.2048751709528,True
492,48.95,1.38,48.41,5,252.875000000009,66.6675605373951,True
493,48.95,1.38,48.41,5,556.182999999996,13.169397441742,True
494,48.95,1.38,48.41,5,219.200000000007,94.7172239950659,True
495,48.95,1.38,48.41,5,168.500000000005,96.8893298651149,True
496,48.95,1.38,48.41,5,268.85000000001,43.4179828913143,True
497,48.95,1.38,48.41,5,194.300000000006,95.897133356574,True
498,48.95,1.38,48.41,10,409.000000000011,23.1685678073511,True
499,48.95,1.38,48.41,5,244.400000000008,79.5929312702797,True
500,48.95,1.38,48.41,5,126.800000000004,98.7396422729346,True
501,48.95,1.38,48.41,5,448.055,20.5706470730203,True
502,48.95,1.38,48.41,10,228.400000000004,90.4942965779468,True
503,48.95,1.38,48.41,15,280.577060000007,76.8837459634016,True
504,48.95,1.38,48.41,5,75.2000000000016,99.3564130755411,True
