,C,H,O,heat_rate,T,mass_porc,biomass_MV
247,78.78,0.82,19.91,20,875.88000000002,13.4875749785775,True
248,78.78,0.82,19.91,10,368.080000000007,69.2748091603053,True
249,78.78,0.82,19.91,10,325.940000000006,81.9049271339348,True
250,78.78,0.82,19.91,15,708.049999999995,15.9373403711902,True
251,78.78,0.82,19.91,20,79.6999999999999,99.2287917737789,True
252,78.78,0.82,19.91,20,33.64,99.8628963153384,True
253,78.78,0.82,19.91,20,748.040000000013,18.8688946015424,True
254,78.78,0.82,19.91,20,288.379999999999,95.7840616966581,True
255,78.78,0.82,19.91,20,43.04,99.6743787489288,True
256,78.78,0.82,19.91,20,698.22000000001,22.5706940874036,True
257,78.78,0.82,19.91,20,352.299999999999,90.2827763496144,True
258,78.78,0.82,19.91,10,571.04000000001,30.5690492713394,True
259,78.78,0.82,19.91,15,169.399999999997,98.3483739145241,True
260,78.78,0.82,19.91,20,883.40000000002,12.8020565552699,True
261,78.78,0.82,19.91,10,183.180000000004,97.3802914642609,True
262,78.78,0.82,19.91,15,262.009999999997,93.3253873659118,True
263,78.78,0.82,19.91,10,128.140000000003,98.5253296321998,True
264,78.78,0.82,19.91,20,36.46,99.777206512425,True
265,78.78,0.82,19.91,10,462.680000000008,51.2317834836919,True
266,78.78,0.82,19.91,20,184.04,98.0119965724078,True
267,78.78,0.82,19.91,10,405.060000000008,57.9632199861207,True
268,78.78,0.82,19.91,10,98.0400000000026,98.8896599583623,True
269,78.78,0.82,19.91,20,51.5,99.5201371036846,True
270,78.78,0.82,19.91,20,54.32,99.5201371036846,True
271,78.78,0.82,19.91,10,895.260000000006,7.21721027064539,True
272,78.78,0.82,19.91,20,685.060000000009,23.2733504712939,True
273,78.78,0.82,19.91,20,795.040000000015,16.7609254498714,True
274,78.78,0.82,19.91,10,392.160000000007,60.6523247744622,True
275,78.78,0.82,19.91,15,796.88,7.93461603950283,True
276,78.78,0.82,19.91,20,255.479999999999,97.0865467009426,True
277,78.78,0.82,19.91,20,635.240000000006,26.1011139674379,True
278,78.78,0.82,19.91,15,356.509999999996,84.4883364549634,True
279,78.78,0.82,19.91,10,409.360000000008,57.3039555863984,True
280,78.78,0.82,19.91,10,530.620000000009,33.3622484385843,True
281,78.78,0.82,19.91,20,717.020000000011,21.3024850042845,True
282,78.78,0.82,19.91,15,299.809999999996,90.141324706283,True
283,78.78,0.82,19.91,10,519.440000000009,36.1554476058293,True
284,78.78,0.82,19.91,10,652.740000000011,28.2442748091603,True
285,78.78,0.82,19.91,20,380.499999999999,85.9297343616109,True
286,78.78,0.82,19.91,20,647.460000000007,25.4670094258783,True
287,78.78,0.82,19.91,10,628.660000000011,28.9729354614851,True
288,78.78,0.82,19.91,10,426.560000000008,55.6904927133935,True
289,78.78,0.82,19.91,10,79.1200000000023,99.0978487161693,True
290,78.78,0.82,19.91,10,611.460000000011,29.3025676613463,True
291,78.78,0.82,19.91,20,844.860000000018,14.6358183376178,True
292,78.78,0.82,19.91,20,31.76,99.9314481576692,True
293,78.78,0.82,19.91,10,320.780000000006,82.5641915336572,True
294,78.78,0.82,19.91,15,757.189999999998,12.4127362506385,True
295,78.78,0.82,19.91,15,859.250000000004,5.99352971224247,True
296,78.78,0.82,19.91,10,649.300000000011,28.3657182512144,True
297,78.78,0.82,19.91,10,430.860000000008,55.3955586398334,True
298,78.78,0.82,19.91,20,153.02,98.4404455869751,True
299,78.78,0.82,19.91,15,226.099999999997,95.8964753958795,True
300,78.78,0.82,19.91,10,178.880000000004,97.5017349063151,True
301,78.78,0.82,19.91,15,615.439999999994,23.395198365401,True
302,78.78,0.82,19.91,20,607.040000000004,28.08911739503,True
303,78.78,0.82,19.91,20,726.420000000011,20.6683804627249,True
304,78.78,0.82,19.91,10,622.640000000011,29.0943789035392,True
305,78.78,0.82,19.91,20,624.900000000006,26.8209083119108,True
306,78.78,0.82,19.91,15,876.260000000004,4.85271581815086,True
307,78.78,0.82,19.91,20,792.220000000015,16.8294772922022,True
308,78.78,0.82,19.91,10,244.240000000005,93.8410825815406,True
309,78.78,0.82,19.91,10,855.700000000011,9.55933379597499,True
310,78.78,0.82,19.91,20,560.040000000002,33.6760925449871,True
311,78.78,0.82,19.91,20,840.160000000018,14.738646101114,True
312,78.78,0.82,19.91,15,263.899999999997,93.2913332198195,True
313,78.78,0.82,19.91,20,177.46,98.114824335904,True
314,78.78,0.82,19.91,10,574.48000000001,30.499653018737,True
315,78.78,0.82,19.91,20,39.28,99.7429305912596,True
316,78.78,0.82,19.91,15,819.560000000001,7.25353311765705,True
317,78.78,0.82,19.91,15,783.649999999999,9.41597139451729,True
318,78.78,0.82,19.91,15,537.949999999995,35.3652307168398,True
319,78.78,0.82,19.91,15,131.599999999997,98.9783756172313,True
